,Country,Total Cases,New Cases,Total Death,New Deaths,Total Recovered,other,Active Cases,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
50,Croatia,"321,372","+2,535","6,815",+31,"298,210","+2,325","16,347",224,"78,677","1,668","1,752,201","428,968","4,084,688"
51,Azerbaijan,"311,465","+1,676","4,342",+35,"276,934","+2,168","30,189",,"30,497",425,"3,178,044","311,173","10,213,098"
52,Kazakhstan,"303,570","+2,837","3,535",+23,"259,863","+2,585","40,172",221,"16,013",186,"9,828,632","518,438","18,958,176"
53,Georgia,"302,785","+1,250","4,007",+15,"284,749",+463,"14,029",,"76,020","1,006","4,035,424","1,013,174","3,982,951"
54,Tunisia,"298,572","+2,229","10,231",+61,"248,013","+2,012","40,328",493,"25,051",858,"1,273,377","106,840","11,918,595"
55,Nepal,"297,087","+2,486","3,136",+14,"277,123",+368,"16,828",,"10,051",106,"2,395,725","81,048","29,559,245"
56,Bolivia,"295,892","+1,501","12,783",+25,"244,079","+1,015","39,030",71,"25,072","1,083","1,102,780","93,443","11,801,593"
57,Palestine,"290,259","+1,139","3,151",+13,"260,650","+1,545","26,458",153,"55,853",606,"1,709,831","329,016","5,196,805"
58,Kuwait,"265,404","+1,206","1,511",+9,"248,633","+1,497","15,260",219,"61,414",350,"2,272,818","525,927","4,321,546"
59,Dominican Republic,"263,470",,"3,448",,"220,678",,"39,344",182,"24,092",315,"1,385,268","126,672","10,935,868"
60,Paraguay,"263,134",,"5,715",,"215,702",,"41,717",525,"36,530",793,"1,052,387","146,098","7,203,319"
61,Ethiopia,"250,955","+1,663","3,531",+20,"190,013","+1,933","57,411",987,"2,140",30,"2,544,095","21,698","117,252,772"
62,Moldova,"248,898",+380,"5,709",+18,"236,774",+809,"6,415",230,"61,817","1,418","966,184","239,965","4,026,351"
63,Denmark,"247,010",+547,"2,474",+2,"235,065",+724,"9,471",40,"42,524",426,"34,911,314","6,010,144","5,808,732"
64,Ireland,"246,204",+461,"4,872",+5,"227,891",+593,"13,441",46,"49,415",978,"4,387,769","880,660","4,982,365"
65,Lithuania,"240,522","+1,212","3,841",+6,"217,779","+1,959","18,902",192,"89,369","1,427","2,706,867","1,005,768","2,691,343"
66,Costa Rica,"238,760","+1,830","3,143",+7,"199,982",,"35,635",303,"46,526",612,"932,115","181,637","5,131,742"
67,Slovenia,"236,613",+831,"4,203",+8,"221,814","+1,248","10,596",160,"113,802","2,021","1,156,509","556,236","2,079,170"
68,Guatemala,"221,307","+1,518","7,395",+21,"195,802",+838,"18,110",5,"12,171",407,"1,219,088","67,047","18,182,658"
69,Egypt,"220,658",,"12,959",,"166,024",,"41,675",90,"2,124",125,"2,677,262","25,770","103,889,720"
70,Armenia,"212,878",+764,"4,001",+17,"193,360","+1,079","15,517",,"71,731","1,348","960,067","323,502","2,967,734"
71,Honduras,"205,696",+868,"5,095",+48,"77,531",+100,"123,070",578,"20,505",508,"602,430","60,053","10,031,695"
72,Qatar,"201,496",+718,418,+5,"179,974","+1,513","21,104",435,"71,763",149,"1,875,805","668,068","2,807,805"
73,Bosnia and Herzegovina,"194,733",,"8,203",,"153,408",,"33,122",,"59,657","2,513","887,506","271,888","3,264,230"
